ADC_TIMER_DMA_EXPERIMENT,version=1
CONFIG,sample_rate_hz=500,duration_s=120,dma_samples=64,timing_probe=1,sw_trigger_after_rearm=0,foreground_stalls=1,print_samples=0
START
SUMMARY,elapsed_ms=35055,conversions=17527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=273,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1642,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=273,processed_samples=17472,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=262,sample_max=4595,short_stalls=350,long_stalls=35
SUMMARY,elapsed_ms=36055,conversions=18027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=281,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1689,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=281,processed_samples=17984,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=262,sample_max=4595,short_stalls=360,long_stalls=36
SUMMARY,elapsed_ms=37055,conversions=18527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=289,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1736,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=288,processed_samples=18432,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=261,sample_max=4595,short_stalls=370,long_stalls=37
SUMMARY,elapsed_ms=38055,conversions=19027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=297,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1783,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=296,processed_samples=18944,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=261,sample_max=4595,short_stalls=380,long_stalls=38
SUMMARY,elapsed_ms=39055,conversions=19527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=304,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1829,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=304,processed_samples=19456,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=261,sample_max=4595,short_stalls=390,long_stalls=39
SUMMARY,elapsed_ms=40055,conversions=20027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=312,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1876,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=312,processed_samples=19968,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=261,sample_max=4595,short_stalls=400,long_stalls=40
SUMMARY,elapsed_ms=41055,conversions=20527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=320,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1923,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=320,processed_samples=20480,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=410,long_stalls=41
SUMMARY,elapsed_ms=42055,conversions=21027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=328,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1970,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=327,processed_samples=20928,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=420,long_stalls=42
SUMMARY,elapsed_ms=43055,conversions=21527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=336,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2017,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=335,processed_samples=21440,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=430,long_stalls=43
SUMMARY,elapsed_ms=44055,conversions=22027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=344,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2064,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=343,processed_samples=21952,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=440,long_stalls=44
